m χ̃ [GeV], xsec [fb], -scale unc [%], -pdf unc [%], +scale unc [%], +pdf unc [%]
80.0,       8045.0,    -3.0,           -3.0,         0.6,            2.9
100.0,      3204.0,    -1.1,           -2.9,         0.0,            2.9
150.0,      693.08,    -0.6,           -3.1,         0.0,            3.1
200.0,      235.18,    -0.5,           -3.4,         0.2,            3.5
250.0,      99.86,     -0.4,           -3.7,         0.2,            3.9
300.0,      48.622,    -0.4,           -4.1,         0.3,            4.2
350.0,      25.966,    -0.4,           -4.5,         0.4,            4.6
400.0,      14.824,    -0.3,           -4.8,         0.3,            5.1
450.0,      8.8967,    -0.3,           -5.1,         0.1,            5.4
500.0,      5.5507,    -0.2,           -5.3,         0.0,            5.9
550.0,      3.5773,    -0.2,           -5.7,         0.0,            6.1
600.0,      2.3634,    -0.2,           -5.9,         0.0,            6.7
650.0,      1.5979,    -0.3,           -6.3,         0.0,            7.0
700.0,      1.0989,    -0.4,           -6.5,         0.0,            7.3
750.0,      0.76808,   -0.7,           -6.9,         0.0,            7.5
800.0,      0.54341,   -1.0,           -7.1,         0.2,            8.0
850.0,      0.38905,   -0.6,           -7.3,         0.1,            8.3
900.0,      0.2811,    -0.4,           -7.3,         0.2,            9.0
950.0,      0.20544,   -1.1,           -8.1,         0.2,            8.5
1000.0,     0.15082,   -1.0,           -8.1,         0.4,            9.4
1050.0,     0.11175,   -1.0,           -8.4,         0.5,            9.8
1100.0,     0.083415,  -0.5,           -8.9,         0.3,            9.7
1150.0,     0.062435,  -1.3,           -9.0,         0.5,            10.4
1200.0,     0.047143,  -1.3,           -9.7,         0.5,            10.3
1250.0,     0.035643,  -1.1,           -9.8,         0.7,            11.2
1300.0,     0.027125,  -1.1,           -10.7,        0.4,            11.4
1350.0,     0.020689,  -1.3,           -10.6,        0.8,            12.1
1400.0,     0.015869,  -1.5,           -11.0,        0.9,            12.1
1450.0,     0.0122,    -1.3,           -11.6,        1.0,            12.3
